Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2021-12-16,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-17,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-18,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-19,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-12-20,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-21,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-22,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-23,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-24,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-25,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-26,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-27,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-12-28,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-12-29,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-30,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-12-31,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2022-01-01,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-01-02,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-03,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2022-01-04,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-01-05,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-01-06,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-01-07,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2022-01-08,Winter,Offshore Wind,2,Onshore Wind,1,Solar,1
2022-01-09,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-01-10,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2022-01-11,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-12,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-01-13,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-14,Winter,Offshore Wind,1,Onshore Wind,1,Solar,0
2022-01-15,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-01-16,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-17,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-01-18,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-01-19,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-20,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-01-21,Winter,Offshore Wind,1,Onshore Wind,1,Solar,0
2022-01-22,Winter,Offshore Wind,2,Onshore Wind,1,Solar,2
2022-01-23,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-01-24,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-01-25,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-01-26,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-27,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-01-28,Winter,Offshore Wind,1,Onshore Wind,1,Solar,0
2022-01-29,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-01-30,Winter,Offshore Wind,0,Onshore Wind,2,Solar,0
2022-01-31,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-02-01,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
